nombre,no_publicaciones,no_seguidores,fecha_ult_pub,tel1,tel2,tel3,bio,link,keyword
bionica_co,"3,484","28,303",15-Jul-18,3588593053,,,Inspiración natural concebida desde una consciencia responsable brLaureles Circular 2 a class hrefexploretags7272a44brProvenzaCarrera 35 a class hrefexploretags8a8Aa59  Medellín br3053211369,www.bionica.co,#camisetasmedellin
vorastore305,216,283,13-Jul-18,3045901085,,,Diseñamos la prenda que mas te guste                           Ventas al por mayor y al detal brDomicilios en Medellín brInfo304 590 10 85,No link,#camisetasmedellin
thewondermedellin,82,187,15-Jul-18,3008575324,,,WONDER INSPÍRATEbrLink directo wppbrDomicilios Medellínbr3008575324,bit.ly/thewondermedellin,#camisetasmedellin
rosamisticacamisetas,301,"7,266",15-Jul-18,,,,Rosa Mística CamisetasbrCamiseticas básicas para toda ocasión a 25000brPersonalizada como tu quieras br Envios todo Colombia ,No link,#camisetasmedellin
njfashion_col,25,"1,590",13-Jul-18,3046512291,,,Ropa calzado y más para estar siempre a la modabrWsp3046512291 a classnotranslate hrefnjfashioncolnjfashioncola cuenta aliada a classnotranslate hreffashionkidscolfashionkidscolabrEnvíos nacionales,No link,#camisetasmedellin
labodega_medellin,96,"12,956",16-Jul-18,3113280361,,,Camisetas al por mayor y al detalbrMedellín  ColombiabrEnvios a todo el pais brEnvios a todo el MundobrWhatsapp 311 328 03 61,No link,#camisetasmedellin
aconditionblue,7,215,Private Account,3006263595,,,BC STOREbrTienda ONLINEbrWhatsApp 57 300 626 35 95brVentas al por mayor y a detalbrEnvíos nacionalesbrColombia  Medellín,No link,#camisetasmedellin
minatiendamedellin,126,"2,656",12-Jul-18,,,3116248575,Productos importados  calzado de lujo  estamos gustosos de servirtecalidad Variedad  y bien precio  pilares de Mina Tienda Medellín ,api.whatsapp.com/send?phone=573116248575&amp;text=hola%2C+que+tal%3F.,#camisetasmedellin
fashionkids_col,156,"4,751",12-Jul-18,3046512291,,,Tenis a class hrefexploretagstenisledtenisleda y másbrWsp57 3046512291brBy Natalia Jaramillo               brEnvios NacionalesMed bra classnotranslate hreffashionkidscolfashionkidscola cuenta aliada a classnotranslate hrefnjfashioncolnjfashioncola,www.facebook.com/fashionkidscol,#camisetasmedellin
lowin.boutique,52,409,13-Jul-18,3022698647,,,ROPA IMPORTADANACIONALbrLínea masculina a classnotranslate hrefceltastoreceltastoreabr57 302 269 86 47brEnvios a nivel nacionalbrDomicilios contra en Medellínbra class hrefexploretagslöwinboutiquelöwinboutiquea,No link,#camisetasmedellin
gorrasgafascolors,"4,376","28,062",13-Jul-18,3134278508,,,WhatsApp 313 427 8508brCll 64  1137  Local 207A BogotabrGorras Camisetas Estampados buzos mugs y globosbrVer Productos y Categorias,www.GafasColors.com,#camisetasmedellin
rojoamaru,72,117,15-Jul-18,3127272558,,,TIENDA VIRTUAL brRopa brAccesoriosbrPersonalizamos camisasbrDomicilios Medellín y envíos nacionalesbrTu eres tu propia creaciónbr3127272558brLink Wsp,api.whatsapp.com/send?phone=573127272558,#camisetasmedellin
estampadospersomedellin,"2,838","4,950",7-Jul-18,3197556521,3114894426,,Personalizados brCamisetas brBuzosbrSudadera y pantalonetasbr3197556521 3114894426,www.facebook.com/estampadospersomedellin,#camisetasmedellin
bmcreativos,"1,389","3,589",14-Jul-18,,,,Artículos Personalizados Regalos OriginalesbrMugs Colgapuertas Cuadros CojinesbrTermos Rompecabezas textilesbrCamisetas Busos MamelucobrY más,www.facebook.com/bmcreativos,#camisetasmedellin
mk_camisa,138,215,15-Jul-18,3002469601,3234060597,,Perzonaliza tus camisas y pide tus favoritas brTrabajamos a por mayor y detal brPedidos al30024696013234060597 medellincolombia  envíos,No link,#camisetasmedellin
elsombrererotienda,484,170,15-Jul-18,,,,La a class hrefexploretagstiendavirtualtiendavirtuala donde encuentras todo lo que te gusta como te gustabrEnvío tiene costó adicionalbra class hrefexploretagstiendaropatiendaropaa a class hrefexploretagstiendademodatiendademodaa a class hrefexploretagstiendamedellinTiendaMedellina,www.elsombrerero.co,#camisetasmedellin
camisetasrebaratas,15,60,4-Jul-18,,,,SOMOS TIENDA VIRTUALbr Personalizamos Ropa a Tu GustobrAqui manejamos la mejor ropa  con los mejores precios ,No link,#camisetasmedellin
martinalovewear,36,651,14-Jul-18,3007091068,,,Acccesorios para mujeres no convencionales  tu lo imaginas y nosotros lo hacemos Medellin Colombia WP 3007091068,No link,#camisetasmedellin
diversotaller,240,438,30-Jun-18,3004593731,,,Taller de diseño de modabrConstruimos tus necesidadesbrVestuario escénicomoda empresarialactivaciones Btl todo tipo de vestuariobr3004593731 Medellin,No link,#camisetasmedellin
blackhookproject,53,166,11-Jul-18,,,,Producción y comercialización de prendas de vestir de  calidad al por mayor y al de tal ubicados en la ciudad de Medellin domicilios a todo el país,blackhookproject.wordpress.com,#camisetasmedellin
camisetashoy,166,226,11-Jul-18,,,,Las camisetas más originales y divertidas del mundo brEtiqueta tu foto de una camiseta con a classnotranslate hrefcamisetasHoycamisetasHoya para aparecer aquí,No link,#camisetasmedellin
ropa.ca,47,358,8-Jul-18,,,,Venta de ropa para hombres y mujeresbrLos mejores precios del mercadobrEnvíos a todo el paísbrCompras 100 SegurasbrPedidos a un solo clic ,bit.ly/WhatsAppRopaCa,#camisetasmedellin
valuropa,162,196,7-Jul-18,,,,Fabricamos para toda la familiaa class hrefexploretagspersonalizadospersonalizadosa a class hrefexploretagscamisetasexclusivascamisetasexclusivasa a class hrefexploretagspijamasfamiliarespijamasfamiliaresa Creamos Recuerdos ENVÍOS SEGUROS,No link,#camisetasmedellin
uniformestws,285,"5,545",26-Jun-18,,,,Fortalecer la Identidad Corporativa de Nuestros Clientes es una Misión brUniformes Empresarialesbra class hrefexploretagsuniformesmedellinuniformesmedellina brMedellín  4133274,www.uniformestws.com,#camisetasmedellin
t3mplo1,13,36,21-Jun-18,,,,Código de EstilobrRopa Diseños clásicos,No link,#camisetasmedellin
race_shirtcol,231,"1,760",26-Jun-18,3108948414,,,Antioquia  Tienda Virtual Franelas para fanaticos a 2 ruedas Wpp 573108948414 584126583427brVentas al Mayor y Detalbra classnotranslate hrefdulcelocuracoldulcelocuracola,api.whatsapp.com/send?phone=573108948414,#camisetasmedellin
factor.a.modamasculina,"2,048","9,088",15-Jul-18,3223318568,,,Whatsapp 322 331 8568  Fijo 228 43 53 CC Premium Plaza  Local 2307 Medellin  Colombia a class hrefexploretagsfactoraFactorAa a class hrefexploretagsmodamasculinaModaMasculinaa a class hrefexploretagsmedellínMedellína,api.whatsapp.com/send?phone=573223318568,#camisetasmedellin
sevenleafs,30,"2,611",14-Jul-18,,,,a classnotranslate hrefsevenleafssevenleafsa brbr a class hrefexploretagssevenleafssevenleafsa,No link,#camisetasmedellin
zigzag.com.co,572,365,14-Jul-18,3002824029,,,Si no la encuentras te la hacemos Siempre con los mejores precios y servicio  Envíos dentro y fuera del paísbrMde Colbr3002824029 a class hrefexploretagscamisetasmocamisetasmoa,api.whatsapp.com/send?phone=573002824029,#camisetasmedellin
planchapower,199,"1,605",13-Jul-18,3197599930,,,              br We Customize bra class hrefexploretagscamisetasppwrcamisetasppwra a class hrefexploretagschompasppwrchompasppwra a class hrefexploretagscojinesppwrcojinesppwra a class hrefexploretagsfundasppwrfundasppwra a class hrefexploretagsmugsppwrmugsppwra a class hrefexploretagsbuzosppwrbuzosppwra y másbr3197599930,www.planchapower.com,#camisetasmedellin
dogz_tv,281,"440,130",13-Jul-18,,,,No biography,No link,#camisetasmedellin
creativaluna,124,171,23-Jun-18,,,,MedellinbrTienda de regalosbrVinilo adhesivobrDiseño gráficobrDecoración de espaciosbrCuadros decorativosbrPersonalizamos,www.facebook.com/Lunatarjetasbajolasestrellas/?ref=aymt_homepage_panel,#camisetasmedellin
tiendaandrudesign,137,"1,330",10-Jul-18,3135170471,,,Cuadernos Libretas PersonalizadasbrMugs Termos Cuadros brWhatsapp 3135170471brBy a classnotranslate hrefdmgraficasdmgraficasabr Envíos a nivel nacional brEnlace para cotizaciones,api.whatsapp.com/send?phone=573135170471,#camisetasmedellin
camisetas.juanjo,18,179,15-Jul-18,,,368925191,24 25 y 26 de julio te esperamos en COLOMBIAMODA Pabellón Verde stand Vr 050D a classnotranslate hrefcamisetasjuanjocamisetasjuanjoa a classnotranslate hrefgestioncomercialipbgestioncomercialipba    a class hrefexploretagscamisetascamisetasa a class hrefexploretagsjuanjojuanjoa,www.facebook.com/Juanjo-185707368925191/settings/?tab=instagram_management,#camisetasmedellin
dmgraficas,999,"4,750",13-Jul-18,3135170471,,,Impresión Publicitaria Diseño Gráfico SouvenirsbrHorario LV 8am a 5pmbrEnvios a nivel Nacional brWhatsApp 3135170471brEnlace para cotizaciones,api.whatsapp.com/send?phone=573135170471,#camisetasmedellin
wilembproject,105,338,14-Jul-18,,,3014395038,Diseños de Bordados a medidabrPack de Bordados brParchesbrCursos OnlinebrAsesoramiento de BordadosbrBordados 3DbrCHAT DIRECTO A WHATSAPP,api.whatsapp.com/send?phone=573014395038,#camisetasmedellin
sublicotton,69,569,23-Jun-18,3442317373,,,a class hrefexploretagspersonalizaconsublicottonPersonalizaConSublicottonabr Personalizamos tus camisetas mugs gorras y másbr Como llegar CRA 66 aa 3442 conqubr  31737368942653565,No link,#camisetasmedellin
tomalotuio,62,316,15-Jul-18,3216578596,,,Ventas por unidad y al por mayorDomicilios en Medellín envíos a todo el país brWhatsapp 3216578596,No link,#camisetasmedellin
zapatos_camisetas_clasico_moda,12,24,24-May-18,,,,  Dale un vistazo a nuestros Productos     ,No link,#camisetasmedellin
tshirtxpressco,132,555,14-Jul-18,3143695279,,,Camisetas Personalizadas  e impresión DTG bajo demanda  Dropshipping y Fulfillment  Orgullosamente Colombiano brWhatsapp 3143695279,api.whatsapp.com/send?phone=573143695279,#perfumesmedellin
elen_variedadess,20,35,2-Jul-18,,,,Pregunté por lo que no vea,No link,#perfumesmedellin
uniformesmoda,209,"3,604",15-Jul-18,3103808549,3183728990,,Fabricamos dotación medica empresarial colegiosuniformes despachos en todo Colombia y a diferentes países whatsapp 3103808549 3183728990,www.tiendamedica.com.co,#perfumesmedellin
ropa_mg09,101,959,13-Jul-18,3012944909,,,Ropa accesorios y mucho másbrVentas Delta y al por mayorbrMas información br301 2944909 brDM brPagos contra entregabrEnvíos 100 confiables,No link,#perfumesmedellin
callistodesgins,38,47,Private Account,,,,Imagina tu estilo brNosotros lo hacemos realidadbrDM para tus pedidos ,No link,#perfumesmedellin
purificaci0n,"2,491","1,370",14-Jul-18,3013817976,,,Moda amp complementos Diseño independiente Contáctanos para diseño a la medida 3013817976 Hecho en ,www.purificacion.com.co,#perfumesmedellin
camisetaslilo,109,58,12-May-18,3007669699,,,Camisetas 100 algodón al por mayor y detal cuenta aliada BSK  envíos nacionales surtimos tu negocio 3007669699 con Dios por delante todo fluye,No link,#perfumesmedellin
oh.lalastore2,"1,247",895,15-Jul-18,,,,Ropa   Importada brProductos   Importados brCalidad   Garantizada brEnvíos NacionalesbrDomicilios MedellínbrHorario Atención  900am A 800pm,No link,#perfumesmedellin
denarcosorg,8,250,Private Account,,,,Instagram oficial de DeNarcos brTienda de artículos con temática de narcos camisetas sudaderas tazas libros y mucho másbrVisítanos en,denarcos.org,#perfumesmedellin
divinapresenciamed,320,"3,589",13-Jul-18,3205342792,,,Camisetas de comics para toda la familia  la Gran Medellin Envios a nivel nacional mayor y detal WS  57 320534279  2284353medellin,No link,#perfumesmedellin
tronokbravearmour,757,"2,173",14-Jul-18,,,,Ropa para hombres exclusiva y de excelente calidad brVistete de valor y luchemos juntos por un sueñobrComparte tu estilo con nosotros usa a class hrefexploretagstronoktronoka,www.facebook.com/TronokBraveArmour,#perfumesmedellin
coquetaycaprichosa,452,"1,745",Private Account,3008665007,,,Tienda Onlineofrecemos regalos originales novedosos y personalizados para toda ocasión brEnvíos nacionalesbrWsp0573008665007 MedellinCol,www.coquetaycaprichosa.jimdo.com,#perfumesmedellin
elitetiendaropa,110,599,3-Jul-18,3196303120,3117430181,,Élite Tienda de Ropa  OnlinebrVENTAS AL POR MAYOR Y DETALbr Envíos a todo el país NO LLAMADAS SOLO WHATSAPP  3196303120  3117430181,www.facebook.com/elitetiendaderopa,#perfumesmedellin
lunazulpro,42,124,Private Account,3004205468,,,Tienda OnlinebrRegalosbrEventos brVentas Por Mayor y Detalbr3004205468brEnvíos todo DestinobrMaterializamos ideasbra class hrefexploretagslunazulproductoslunazulproductosa,No link,#perfumesmedellin
romania_oficial,30,51,Private Account,,,,Nos encargamos de la comercialización de camisetas tipo Polo para hombre con variedad de colores y tallas En Medellín y Envios a nivel Nacional,No link,#perfumesmedellin
casakita,38,36,22-Jun-18,3053930998,,, Pedidos DM Wappbr57 305 393 0998brcasakitaicloudcom,No link,#perfumesmedellin
medellinbasement,9,180,19-Apr-18,,,,No biography,No link,#perfumesmedellin
unidotex,27,533,14-Apr-18,3143387618,,,Empresa dedicada a la fabricación y distribución de UNIFORMES Y DOTACIONES para todo Colombia brPBX 4 5898601 Medellínbr57 1 3143387618 What,www.unidotex.com,#perfumesmedellin
mmtienda07,980,"3,726",Private Account,3116000386,,,Fabricación y diseño de camisetas en algodónbrVENTAS AL POR MAYOR Y AL DETALbr3116000386brENVÍOS NACIONALESbr DOMICILIO MEDELLIN,No link,#perfumesmedellin
somos_melanina,127,"1,000",Private Account,3012250430,,,Una marca con identidad brafrotshirt brWhatsapp 3012250430br O  direct mensaje interno brEnvíos nacionalesbrMedellin  colombia,m.facebook.com/melaninasomos,#perfumesmedellin
la_tienda_de_emociones,101,117,23-Jun-18,3103866312,,,Desde Medellín Colombia poniendole amor a lo que hacemos Nos ayudas a crear 3103866312br,No link,#perfumesmedellin
ele.s.tore,13,18,17-Apr-18,3188384808,,,Comunicate con nosotros y haz tus pedidosbr3188384808,No link,#perfumesmedellin
torrefuerte.store,16,197,13-Apr-18,,,,Diseños exclusivos para hombre nos gusta el arte la buena música los deportes  las motos viajar  todo esto y más verás en nuestra página ,gmail.com,#perfumesmedellin
atelier.med,42,153,13-Jul-18,3162131180,3193098171,,Sublimación y Desarrollo TextilbrEnvios a todo el paisbr somos fabricantes brwp info  3162131180 br toda info 3193098171,gmail.com,#perfumesmedellin
blue.gaia.med,6,13,1-Apr-18,3053442621,,,Camisetas sublimadasbrMEDELLINbrWhatsApp 305 344 2621,No link,#perfumesmedellin
lazkaropa,276,"4,191",15-Jul-18,3146347116,,3046381508,ExclusividadcalidadSeguridad y confianzabrWpp3146347116brMEDELLIN ENVIOS NACIONALESbrCLICK DIRECTO PARA ACCESO A WPP,api.whatsapp.com/send?phone=+573046381508&amp;text=Hola+Bienvenido+a+Lazkaropa,#perfumesmedellin
anillandomedellin,85,290,Private Account,3105685194,,,Centro Integral de Copiado y Soluciones Digitales  Diseño Gráfico y Publicidad  Marketing  Papelería  WhatsApp 573105685194 ,www.anillandomedellin.com,#perfumesmedellin
gracia_shop1,"1,014","10,445",Private Account,3012559831,3113886242,,Laureles  Medellín brEnvios a todo Colombia brWA 57 3012559831  3113886242,No link,#perfumesmedellin
ala.fresh,19,152,5-May-18,,,,Párchate y sé feliz gt pedidos por direct  Instagram    a class hrefexploretagsmedellinstylemedellinstylea a class hrefexploretagstshirtTshirta a class hrefexploretagscamisetascamisetasa a class hrefexploretagsfreestylefreestylea,No link,#perfumesmedellin
disenodeamor_,352,618,Private Account,3136920951,,,Diseño de amorbrVentas al por mayor y al detalbrWhatsApp 3136920951,No link,#perfumesmedellin
pescador.boutique,639,"5,138",Private Account,3013088647,,,TIENDA VIRTUAL brventas por mayor y al detal brinf 57 3013088647 brenvíos nacionalesbrHecho en MedellínColombiabra class hrefexploretagsdomiciliosdomiciliosa a class hrefexploretagskimonoskimonosa a class hrefexploretagsbodysuibodysuia,No link,#perfumesmedellin
personalizados_yule,663,181,Private Account,3104869725,,,Productos personalizados brImaginalo y lo hacemos realidad brDiseña tu mism brEnvíos Nacionales br 3104869725,No link,#perfumesmedellin
unicorniostoremedellin,123,225,10-Mar-18,,,,No biography,No link,#ropamedellin
tuaromastore,294,447,Private Account,3128952947,,,TIENDA VIRTUAL  Tenis AAA perfumes AAA Y original camisetas  3128952947 WTSP Contra entrega en medellin Mensaje directo ,api.whatsapp.com/send?phone=57312,#ropamedellin
globalstore2015,"1,066","9,610",Private Account,3187521358,,,Envíos  seguros a todo el paisbrPARA HOMBRE Y MUJER brENVIGADObrWPP 3187521358,No link,#ropamedellin
by_tata_arias,102,"1,054",3-Jul-18,,,,Tienda VirtualbrDomicilios en Medellín br EnvNalbrVentas al por mayor y al detal brSe trata de que todos lo logremosa classnotranslate hrefbytariasbytariasa a class hrefexploretagsbytariasbytariasa,No link,#ropamedellin
talibaaccesorios,293,"1,342",Private Account,3226738940,,, WhatsApp 3226738940 br Servicio a domicilio en MedellínbrEncuéntranos en facebook cómo Taliba Accesorios bra class hrefexploretagsmedellinmedellinaantioquia,talibaaccesorios.wixsite.com/misitio-2,#ropamedellin
ohnani_medellin,"1,729","37,271",12-Jul-18,3218153566,,,Tienda de marcas  Medellinbr Envíos a todo el paísbr 57 3218153566  Solo whatsapp,No link,#ropamedellin
sagama_,46,363,6-Feb-18,3015681423,,,Venta de accesorios y celulares  brVinilos decorativos brVenta Relojes  br3015681423,No link,#ropamedellin
dabxmed,97,306,Private Account,,,, Marca original hecha en Colombia,www.facebook.com/dabxmed,#ropamedellin
gutier_clothes,26,54,7-Jul-18,,,,Tienda de ropa brMedellín Colombia,No link,#ropamedellin
