nombre,no_publicaciones,no_seguidores,fecha_ult_pub,tel1,tel2,tel3,bio,link,keyword
fullcaps,"2,212","17,034","Jul 9, 2018",3007164131,,,Somos fabricantes y distribuidores de nuestra marca FULLCAPSbrEnvios a Toda COLOMBIA  VENEZUELAbrVentas al Mayor y Detal brWHATSAPPbr 57 3007164131,www.facebook.com/fullcapscolombia
gorrasblacksoul,160,"1,131","Apr 5, 2018",3008057332,,, Gorras personalizadas br Whatsapp 3008057332 br Envíos a todo el Paísbr Por Mayor y Detalbra class hrefexploretagsgorrasGorrasa a class hrefexploretagsblacksoulBlackSoula a class hrefexploretagsloquehaydentrodetiLoQueHayDentroDeTia,www.facebook.com/Blksoul
andresmarb,292,981,"Jul 14, 2018",,,,La Vida Se Construye Un Paso  A  La Vez,No link
novedadestab,152,158,"Jul 15, 2018",3136306659,3128854679,,Trabajamos comobrTienda Virtual brCualquier información en el whatsaapbr3136306659 o 3128854679 brMuestranos tu diseño y te lo hacemos realidad,No link
mayoristagorras,144,"1,230","Jul 14, 2018",3186155606,,, GORRAS AL POR MAYORbr IMPORTADORES DIRECTOS br12 UNIDADES A 180000br WHATSAPP 3186155606br ENVÍOS A TODO COLOMBIAbr LUNES A SÁBADO 8AM  8PM,api.whatsapp.com/send?phone=573186155606
streetwearmde,926,"2,518","Jul 15, 2018",3104139866,,,Ropa EXCLUSIVA y calzado urbano ORIGINAL a class hrefexploretagsskateshopSkateshopa Envíos a todo el país   Horario L  S 11am a 7pmbrInformes WA  3104139866 ,api.whatsapp.com/send?phone=573104139866
idee_personalizacion,96,416,"Jul 14, 2018",3006101383,,,Personaliza gorras mugs y  con nosotrosbrideepersonalizadosgmailcombr info y pedidos wsp 3006101383,No link
camisetas_egam,498,"1,149","Jul 14, 2018",,,3007716779,Tómate un selfiebrcon una prenda increíblebrAtención 10 am5pm LV brEnvíos nacionalesbrHaz tu pedido por WhatsApp,api.whatsapp.com/send?phone=573007716779
gorrasbarranquilla,"1,246","47,791","Jul 13, 2018",3017541644,3048844,,Gorras personalizadasbrEstampamosy Bordamos tu propio estilobr3017541644 3048844bra class hrefexploretagswelovegorrasbarranquillaWeLoveGorrasBarranquillaa,No link
mishkamd,"3,188","29,647","Jul 14, 2018",3165778983,,,EXCLUSIVIDADESTILOPERSONALIZATE           3165778983 Envios Nacionales desde Medellin  ColombiaTienda virtualFacebook mishka MD personalizada,api.whatsapp.com/send?phone=573165778983
